Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"06037101110","Census Tract 1011.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101110",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101110","Census Tract 1011.10",,,,4152,140,203,227,156,400,400,564,657,615,566,177,47,3.37,4.89,5.47,3.76,9.63,9.63,13.58,15.82,14.81,13.63,4.26,1.13
"06037101122","Census Tract 1011.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101122",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101122","Census Tract 1011.22",,,,4198,192,143,192,130,270,332,454,728,737,595,234,191,4.57,3.41,4.57,3.1,6.43,7.91,10.81,17.34,17.56,14.17,5.57,4.55
"06037101220","Census Tract 1012.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101220",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101220","Census Tract 1012.20",,,,3434,123,245,218,57,247,458,387,616,536,316,168,63,3.58,7.13,6.35,1.66,7.19,13.34,11.27,17.94,15.61,9.2,4.89,1.83
"06037101221","Census Tract 1012.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101221",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101221","Census Tract 1012.21",,,,3931,165,195,286,143,276,495,718,427,491,377,153,205,4.2,4.96,7.28,3.64,7.02,12.59,18.27,10.86,12.49,9.59,3.89,5.21
"06037101222","Census Tract 1012.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101222",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101222","Census Tract 1012.22",,,,2572,254,152,78,16,250,432,280,400,282,253,99,76,9.88,5.91,3.03,0.62,9.72,16.8,10.89,15.55,10.96,9.84,3.85,2.95
"06037101300","Census Tract 1013, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101300","Census Tract 1013",,,,4210,106,341,177,116,121,404,719,484,637,699,254,152,2.52,8.1,4.2,2.76,2.87,9.6,17.08,11.5,15.13,16.6,6.03,3.61
"06037101400","Census Tract 1014, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101400","Census Tract 1014",,,,3489,206,84,125,144,378,334,272,492,733,516,157,48,5.9,2.41,3.58,4.13,10.83,9.57,7.8,14.1,21.01,14.79,4.5,1.38
"06037102103","Census Tract 1021.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102103",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102103","Census Tract 1021.03",,,,2054,163,191,116,37,47,368,315,202,312,136,137,30,7.94,9.3,5.65,1.8,2.29,17.92,15.34,9.83,15.19,6.62,6.67,1.46
"06037102104","Census Tract 1021.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102104",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102104","Census Tract 1021.04",,,,4052,188,250,211,192,376,394,389,798,495,500,223,36,4.64,6.17,5.21,4.74,9.28,9.72,9.6,19.69,12.22,12.34,5.5,0.89
"06037102105","Census Tract 1021.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102105",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102105","Census Tract 1021.05",,,,1664,194,78,80,85,51,327,215,151,220,196,22,45,11.66,4.69,4.81,5.11,3.06,19.65,12.92,9.07,13.22,11.78,1.32,2.7
"06037102107","Census Tract 1021.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102107",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102107","Census Tract 1021.07",,,,3595,136,216,89,81,172,693,409,259,737,440,182,181,3.78,6.01,2.48,2.25,4.78,19.28,11.38,7.2,20.5,12.24,5.06,5.03
"06037103101","Census Tract 1031.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103101","Census Tract 1031.01",,,,2705,147,173,80,26,162,284,474,360,434,427,97,41,5.43,6.4,2.96,0.96,5.99,10.5,17.52,13.31,16.04,15.79,3.59,1.52
"06037103102","Census Tract 1031.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103102","Census Tract 1031.02",,,,4468,274,147,221,83,240,511,714,586,628,633,354,77,6.13,3.29,4.95,1.86,5.37,11.44,15.98,13.12,14.06,14.17,7.92,1.72
"06037103201","Census Tract 1032.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103201","Census Tract 1032.01",,,,4425,143,150,178,197,336,670,634,627,745,343,352,50,3.23,3.39,4.02,4.45,7.59,15.14,14.33,14.17,16.84,7.75,7.95,1.13
"06037103202","Census Tract 1032.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103202","Census Tract 1032.02",,,,1945,137,37,121,60,43,407,216,174,276,356,98,20,7.04,1.9,6.22,3.08,2.21,20.93,11.11,8.95,14.19,18.3,5.04,1.03
"06037103300","Census Tract 1033, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103300","Census Tract 1033",,,,4021,81,320,431,154,196,353,508,729,496,429,244,80,2.01,7.96,10.72,3.83,4.87,8.78,12.63,18.13,12.34,10.67,6.07,1.99
